Paslaugų pavadinimas,Seniunija,Gatvė \ Objektas,Plotas,Mato vnt.
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,SENIAVOS PL. 15,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,SENIAVOS PL. 52,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,SENIAVOS PL. 53,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,SENIAVOS PL. 8G,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,"TECHNIKUMO G. ""Technikumo g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,"TECHNIKUMO G. ""Būrio g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,"TECHNIKUMO G. ""Vaitapilės g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,"TECHNIKUMO G. ""Žvalgų g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,"UŽNEMUNĖS G. ""Vytauto Didžiojo tiltas""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. (prie Minkovskių H. Ir O. sankryžos),60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. (prie Europos pr. sankryžos),60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. (prieš 148),60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. (prieš 26),60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 106,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 134,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 148,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 150,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 191,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 23,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL.  55,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 61,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL.  97,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VEIVERIŲ PL. 190,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VILTIES G. (prieš 3),60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VILTIES G. 3,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",ALEKSOTO SENIŪNIJA,VINČŲ G. 1,60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"BIRŠTONO G.  14, ""Vilniaus g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"BIRŠTONO G.  prieš 18A, ""Vilniaus g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"ČIURLIONIO M.K. 27, ""Geležinkelio stotis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"DONELAIČIO K. 27, ""Gedimino g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"DONELAIČIO K. 71, ""S.Daukanto g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"DONELAIČIO K. 93, ""L.Sapiegos g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"JONAVOS G.  1, ""Kauno pilis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KARALIAUS MINDAUGO PR. ""Birštono g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KARALIAUS MINDAUGO PR. prieš 16, ""Birštono g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KARALIAUS MINDAUGO PR. 8, ""Karaliaus Mindaugo pr.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KARALIAUS MINDAUGO PR. prieš 26, ""Sala""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KAUNAKIEMIO G.  prieš 3, ""Kaunakiemio g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KĘSTUČIO G. 12, ""Gedimino g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KĘSTUČIO G. 54, ""S.Daukanto g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"KĘSTUČIO G. 76, ""Muzikinis teatras""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"NEMUNO G.  prieš 43, ""Vilniaus g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"OŽEŠKIENĖS E. 2, ""Ožeškeinės g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"SAVANORIŲ PR. 12, ""Laisvės al.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"ŠAUKLIŲ  G.   3, ""Kauno pilis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"ŠAUKLIŲ  G.   26A, ""Kauno pilis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"ŠV. GERTRŪDOS G.  6, ""Laisvės al.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. 6, ""Geležinkelio stotis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. 11, ""Geležinkelio stotis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. 23, ""Autobusų stotis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. 32, ""Autobusų stotis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. 49, ""Griunvaldo g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. prie parko ""Griunvaldo g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. 50, ""Kęstučio g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",CENTRO SENIŪNIJA,"VYTAUTO PR. ""Kęstučio g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"DRAUGYSTĖS G. 5D, ""Dainava""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"GARAŽŲ G. ""Garažų g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KOVO 11-OSIOS G.  prieš 84, ""Draugystės parkas""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KOVO 11-OSIOS G.  84, ""Draugystės parkas""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KOVO 11-OSIOS G.  67, ""Turgavietė""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KOVO 11-OSIOS G.  102, ""Turgavietė""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 2, ""Birželio 23-osios g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 9, ""Birželio 23-osios g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 25, ""Draugystės parkas""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 28, ""Draugystės parkas""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 49, ""Rėda""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 53, ""Kovo 11-osios g.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 65, ""V.Krėvės pr.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 52, ""V.Krėvės pr.""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 97, ""Kauno Saulėtekis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. ""Kauno Saulėtekis""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. 113, ""Statybininkų rengimo centras""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"KRĖVĖS V. PR. prieš 113, ""Statybininkų rengimo centras""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"PARTIZANŲ G.  prieš 86, ""Dvarčionių keramika""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"PARTIZANŲ G.  100, ""Dvarčionių keramika""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"PARTIZANŲ G.  prieš 134, ""Rimi""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"PARTIZANŲ G.  166, ""Rimi""",60,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO VIEŠOJO TRANSPORTO STOTELIŲ (SUSTOJIMŲ AIKŠTELIŲ) ",DAINAVOS SENIŪNIJA,"PARTIZANŲ G.  ""Biruliškės""",60,m² 
